,title,price,time,content,like,Attention,location
10_0,"(웨어러블)에어팟,애플워치.최고가 매입!!","777,777,777원",1달 전,"번개장터에 드디어 ⭐노란마켓⭐이 떴다!

❤매입 특별기간❤
""지금 중고폰 판매시 최대 5만원 추가지급"" 
-

❓
개인거래여서 잠수타면 어떡하지 걱정되시나요?
생각했던 금액이 아닐까봐 걱정되시나요?

❗
이제는 그런 걱정 할 필요 없습니다!

믿을만한 브랜드여서 믿고 보낼수 있고,
금액이 안맞아도 무료반송이여서, 부담 없이 보내실수 있습니다.

보내기 귀찮다 ,너무 번거롭다 하면
노란마켓은 기사님께서 직접 픽업도 하러 가십니다.
*픽업요청은 번개톡 또는 직통상담으로 신청하시면 됩니다.

-

※ 중고거래 특성상 사기당하는 경우가 자주 발생하고,
말도 안되는 이유로 금액을 낮게 측정하는 경우가 많습니다.

그 . 래 . 서 
노란마켓은 고객님께서 금액이 마음에 들지 않으면
⛔무ㆍ조ㆍ건ㆍ무ㆍ료ㆍ반ㆍ송 ⛔

모르는 불안한 업체에 기계보냈다가 후회하지마시고,
인증된 법인기업 노란마켓에 보내주세요!


-

⭐️거래방법
①상담 후 택배 보내주시면 즉시 검사후 연락 드리고 바로 현금이체 해드립니다!
②택배 보낸 후 문자로 보내시는 제품, 계좌번호, 운송장을 남겨주세요.
③후기에 별 다섯개 + 팔로잉하고 인증샷 보내면 5천원 추가로 드립니다! 

⭐️택배주소
받는 이 : 노란마켓 번개장터 매입팀
전화번호 : ***-****-**** [매입팀 직통번호]
주소 : 서울특별시 광진구 군자로 70, 2층 노란마켓 본사 매입2팀

⭐️노란마켓 직통상담💁🏻 ♀️
카톡상담 이용시 더 빠른 답변을 받을 수 있습니다.
문의번호 : ***-****-****
카카오톡 : ****://pf.kakao.com/_rajsxb

무료배송으로 했더니 타업체들의 영업방해 목적 배송이 늘어나네요, 
실매입가 만원미만 또는 폐폰은 택배비 지원이 불가능합니다.",123,8100,서울특별시 광진구 군자동
10_1,추금 받고 애플워치 se랑 교신하실 6 모십니다,0원,17시간 전,"추금 받고 애플워치 se랑 교신하실 6 모십니다
제 거는 44mm 스그 gps 모델이구요 애케플 등록 한 지 한 달 됐습니다 연락 부탁드려요",0,199,경기도 부천시 역곡1동지역인증
10_2,애플워치3 스그 미개봉,"215,000원",18시간 전,,8,344,전국
10_3,애플워치6 40mm 판매합니다,"500,000원",19시간 전,애플워치 40mm 실버 화이트밴드 판매합니다! 구매했는데 44mm로 구매하고 싶어서 판매합니다 연락주세요!! 직거래는 순천 가능합니다! 구매하실분만 연락주세요,0,51,전라남도 순천시 왕조2동지역인증
10_4,카일루스 플로랄 애플워치 스트랩 유광 44/42mm 팔아요.,"500,000원",18시간 전,"카일루스 플로랄 애플워치 44/42mm 스트랩 팔아요.
무광 주문이 아닌 매물 별로 없는 유광 입니다!!!
손목 17~17.5cm 사이즈시면 맞는 사이즈입니다.

공홈에서 57만원 가량에 판매중이고
상태는 보시다시피 새상품 그대로입니다.
구성품과 정품인증서 전부 보유중입니다.

아직 이정도 퀄리티 스트랩은 출시되지않았습니다.
특별한 스트랩이니 문의 주세요!


회사 근처가 우체국이라
평일 6시 전 입금시 택배거래시
팀장님과 대표 몰래 나와서 우체국택배로 쏴드립니다.

직거래는 평일 오전9시 ~ 오후6시
>> 부평 삼산우체국 앞

그 뒤나 주말은
>>부천시 상동 상인초등학교나
>>상동역 롯데리아건물에서 합니다.

",0,48,경기도 부천시 상3동지역인증
10_5,"(미개봉,새상품) 애플워치se & 애플워치6  일반,나이키 (네고가능)","260,000원",16시간 전,"✨ 상세내용 필독 후 문의 바랍니다!✨

▶상점정보: 개인판매자가 아닌 전문업체입니다. 부가세 포함 결제시 현금영수증/세금계산서 발행 가능하며 거주 지역에 따라 직접 배송, 택배비 무료 서비스 지원 드리고 있습니다.

▶기본 소요기간 연장으로 인한 판매가 임시 인하 되었음을 안내드립니다.

▶배송기간: A상품 3~5개월 소요품/B상품 8주 소요품 중 선택 가능

-.A 3-5개월 배송 소요품 프로모션 할인가 (미개봉,애플코리아)
▶3~5개월내 수령 가능 제품 가격

✨애플워치se 40mm gps (가능수량한정)  - 26만원
✨애플워치se 44mm gps (스그,실버,골드) - 32만원
✨애플워치6 40mm gps (스그,실버,골드) -> 40만원 
✨애플워치6 44mm gps (스그,실버,골드) -> 44만원

-. 나이키 버젼 별도 추금 없음 
-. 셀룰러 추금 4~12만원 발생 (별도문의) 

▶추가 할인:  2월 이벤트 학생네고 적용 (이벤트 2월 28일  마감) 
                      3월 이벤트 당일결제시 쿨거래네고 인상적용/ 부가세 할인 이벤트

▶위 기제된 모든 가격은 부가세 비포함된 현금가 입니다.  (부가세 포함시 현금영수증 발행 가능합니다)

▶애케플 가입 가능한 애플코리아 미개봉 정품 상품만 취급하며 리퍼 및 가개통 상품은 별도 판매하지 않습니다.

▶직거래 문의: 주문시 신규재고 발주드리는 시스템입니다. 프로모션 상품은 직거래가 어렵습니다.(미리 주문후 방문수령가능)

▶주문전 주의 사항: 배송기간이 상당히 오래 소요되는 상품이오니 충분히 고민하신후 문의 부탁 드립니다. 코로나 19 문제로 물류 공급이 원활하지 않습니다. 물류지연이 빈번히 발생되고 있으며 이에 따른 배송트러블로 단가 인하되었습니다. 저렴한 가격만 보고 문의 주시는것보다는 상점 후기 참고 및 판매글 본문 내용에 적힌 기본 소요 배송기간을 꼭 참고하신 후에 구매 결정해주시면 감사드리겠습니다. 

▶배송지연 발생시 ""배송지연 보상금 페이백"" 정책 운영중입니다.
     -> 꿀잼상점 플러스친구 게시판에 공지하였습니다.

▶번개페이 문의: 번개페이는 꼭 카드결제가 필요하신 분들만 받겠습니다. 안전결제가 아닌 단순 카드결제 수단으로만 사용드리니 결제 진행전에 꼭 상담후에 진행해주세요,상담 진행 없이 임의 결제 진행 즉시 취소처리 드립니다.안전결제x)

▶상담 플랫폼:모든 배송 문의는 카카오톡 플러스친구: @꿀잼상점 검색후 문의부탁드립니다.오픈카톡이 아닌 기업용 플러스친구로 검색후 문의 부탁드립니다. 평일 오전9시~저녁18시 상담사 실시간 대기

▶할인가로 구매하신 경우 상품수령후 포토후기 필수
",2186,112590,전국
10_6,카일루스 플로랄 애플워치 스트랩 유광 44/42mm 팔아요.,"500,000원",18시간 전,"카일루스 플로랄 애플워치 44/42mm 스트랩 팔아요.
무광 주문이 아닌 매물 별로 없는 유광 입니다!!!
손목 17~17.5cm 사이즈시면 맞는 사이즈입니다.

공홈에서 57만원 가량에 판매중이고
상태는 보시다시피 새상품 그대로입니다.
구성품과 정품인증서 전부 보유중입니다.

아직 이정도 퀄리티 스트랩은 출시되지않았습니다.
특별한 스트랩이니 문의 주세요!


회사 근처가 우체국이라
평일 6시 전 입금시 택배거래시
팀장님과 대표 몰래 나와서 우체국택배로 쏴드립니다.

직거래는 평일 오전9시 ~ 오후6시
>> 부평 삼산우체국 앞

그 뒤나 주말은
>>부천시 상동 상인초등학교나
>>상동역 롯데리아건물에서 합니다.

",0,48,경기도 부천시 상3동지역인증
10_7,애플워치se44 삽니다 실버나 스그,0원,19시간 전,"미개봉이나 기스 안심한거 사요 조금이나마 저렴하게 살려고 글 올립니다 거래는 다음주 금요일이나 토요일 대구 사시면 제가 직접 가고요 올현찰 드려요 생각하시는 가격 상태 사진 채팅 많이주세요 (나이키에디션 환영) 
택배거래는 안전거래만 합니다",0,25,대구광역시 수성구 지산1동지역인증
10_8,애플워치6세대 나이키에디션,"460,000원",18시간 전,"풀박 새제품

539000원인데 46만원에 싸게 넘겨요 ㅠㅠ

크기 잘못 골랐는데 개봉해서 교환 안된다네요..
싸게 가져가세요

나이키 에디션
스페이스그레이
40mm
GPS


애플워치 6세대
44mm 블랙, 실버, 스그 가지고 계신분
추금드릴테니 교환해주세요오ㅠㅠ 새상품 받아요옹",2,83,충청남도 아산시 온양3동
10_9,애플워치se 40mm 스페이스그레이 상태최상,"330,000원",19시간 전,배터리성능 100% 거의새것 기스 오염 하자X,3,106,인천광역시 연수구 연수2동
