,title,price,time,content,like,Attention,location
8_0,중고폰매입 아이폰.아이폰12아이폰11.아이폰XS.아이폰X.S20.노트20,"999,000원",2일 전,"*** 필독 번톡알림이 울리지 않아 답변이 늦을수 있습니다. 카톡.문자.전화로 연락주시면 빠른답변드리겠습니다 ***


[24시간 친절상담]

카카오톡 1:1오픈채팅 
https://open.kakao.com/o/sIYqIl5

CACA0 : may1318

메이통신 연락처 : ０１０-５９２６-１５０３

통화.문자 ０１０-５９２６-１５０３


안녕하세요~~!!! 
최고가로 매입하는 중고폰 매입전문업체 
메이통신입니다. 

저희 메이통신으로 연락주시면 
최고가격으로 매입해드리도록 하겠습니다. 

CACA0 : may1318 (24시간 상담환영) 
메이통신 연락처 : ０１０-５９２６-１５０３

★☆ 모든 중고폰 & 파손액정 최고가 매입 ☆★


 [] 방문주소 []  

서울시 금천구 가산디지털1로 84 에이스하이앤드8차 메이통신

7호선 가산디지털단지역 도보 10분거리

※찜.팔로우 3천원 쏩니다!!※

○ 택배로 보내실때 박스.유심.필름.케이스 
    전부 빼고 보내주세요 
    모두 폐기처분합니다. ○ 


[ 침수.파손.고장폰도 최고가 매입 ]

[ 분실.습득폰은 절대매입하지 않습니다 ]

[ 택배거래시 도착당일 제품확인후 
  신속.정확하게 최고가로 입금해드립니다 ]



 
 ☆ 휴대폰은 꼭 초기화해서 보내주세요  초기화안된폰은 매입안됩니다  ☆",510,38594,서울특별시 금천구 가산동지역인증
8_1,애플워치3 스그 미개봉,"215,000원",18시간 전,미개봉 스그입니다,8,239,전국
8_2,카일루스 플로랄 애플워치 스트랩 유광 44/42mm 팔아요.,"500,000원",18시간 전,"카일루스 플로랄 애플워치 44/42mm 스트랩 팔아요.
무광 주문이 아닌 매물 별로 없는 유광 입니다!!!
손목 17~17.5cm 사이즈시면 맞는 사이즈입니다.

공홈에서 57만원 가량에 판매중이고
상태는 보시다시피 새상품 그대로입니다.
구성품과 정품인증서 전부 보유중입니다.

아직 이정도 퀄리티 스트랩은 출시되지않았습니다.
특별한 스트랩이니 문의 주세요!


회사 근처가 우체국이라
평일 6시 전 입금시 택배거래시
팀장님과 대표 몰래 나와서 우체국택배로 쏴드립니다.

직거래는 평일 오전9시 ~ 오후6시
>> 부평 삼산우체국 앞

그 뒤나 주말은
>>부천시 상동 상인초등학교나
>>상동역 롯데리아건물에서 합니다.

",0,47,경기도 부천시 상3동지역인증
8_3,애플워치3 스그 미개봉,"215,000원",18시간 전,,8,342,전국
8_4,애플워치3 스그 미개봉,"215,000원",18시간 전,미개봉 스그입니다,8,239,전국
8_5,"(웨어러블)에어팟,애플워치.최고가 매입!!","777,777,777원",1달 전,"번개장터에 드디어 ⭐노란마켓⭐이 떴다!

❤매입 특별기간❤
""지금 중고폰 판매시 최대 5만원 추가지급"" 
-

❓
개인거래여서 잠수타면 어떡하지 걱정되시나요?
생각했던 금액이 아닐까봐 걱정되시나요?

❗
이제는 그런 걱정 할 필요 없습니다!

믿을만한 브랜드여서 믿고 보낼수 있고,
금액이 안맞아도 무료반송이여서, 부담 없이 보내실수 있습니다.

보내기 귀찮다 ,너무 번거롭다 하면
노란마켓은 기사님께서 직접 픽업도 하러 가십니다.
*픽업요청은 번개톡 또는 직통상담으로 신청하시면 됩니다.

-

※ 중고거래 특성상 사기당하는 경우가 자주 발생하고,
말도 안되는 이유로 금액을 낮게 측정하는 경우가 많습니다.

그 . 래 . 서 
노란마켓은 고객님께서 금액이 마음에 들지 않으면
⛔무ㆍ조ㆍ건ㆍ무ㆍ료ㆍ반ㆍ송 ⛔

모르는 불안한 업체에 기계보냈다가 후회하지마시고,
인증된 법인기업 노란마켓에 보내주세요!


-

⭐️거래방법
①상담 후 택배 보내주시면 즉시 검사후 연락 드리고 바로 현금이체 해드립니다!
②택배 보낸 후 문자로 보내시는 제품, 계좌번호, 운송장을 남겨주세요.
③후기에 별 다섯개 + 팔로잉하고 인증샷 보내면 5천원 추가로 드립니다! 

⭐️택배주소
받는 이 : 노란마켓 번개장터 매입팀
전화번호 : ***-****-**** [매입팀 직통번호]
주소 : 서울특별시 광진구 군자로 70, 2층 노란마켓 본사 매입2팀

⭐️노란마켓 직통상담💁🏻 ♀️
카톡상담 이용시 더 빠른 답변을 받을 수 있습니다.
문의번호 : ***-****-****
카카오톡 : ****://pf.kakao.com/_rajsxb

무료배송으로 했더니 타업체들의 영업방해 목적 배송이 늘어나네요, 
실매입가 만원미만 또는 폐폰은 택배비 지원이 불가능합니다.",123,8099,서울특별시 광진구 군자동
8_6,애플워치 롤렉스st 메탈 스트랩 (New),"28,000원",18시간 전,"안녕하세요!
애플워치 롤렉스 쥬빌레 밴드 새상품 판매합니다! (44mm)
(애플워치 미포함 입니다)
❤️💛❤️💛❤️💛❤️💛❤️💛❤️💛❤️💛❤️💛
롤렉스 쥬빌레 스타일로 일반 메탈보다 훨씬 고급스럽습니다!

🍎다른 제품보다 가볍고!
🍎다른 제품보다 좋은 퀄리티!
🍎다른 제품보다 저렴합니다!
🍎제가 직접 사용해 보고 주문해서 하나하나 검수 후 판매합니다. 
🍎제품 문제 있으면 100퍼 교환 해드려요!

구입하신 모든 분들께 시계줄 조절기 함께 보내드립니다!
조절 방법 사진으로 첨부해놨습니다~ (쉽게 하실 수 있어요!)

😎마진 싹 빼고 최저가에 조절기까지 함께 보내드려요!😎

직거래는 건대입구 롯데백화점 입니다!
더 좋은 물건으로 보답하겠습니다!
감사합니다!",45,2248,서울특별시 광진구 구의제3동지역인증
8_7,애플워치3 42mm 스페이스그레이,"200,000원",18시간 전,"애플워치3 42mm 스페이스그레이 색상 판매합니다!

이 제품을 사자마자 애플워치SE를 선물받아서 얼마 사용하지 못한 상태로 방치되고 있어서 판매합니다! 얼마 사용하지 않은만큼 사진에서 보이는 것처럼 깨끗하고 예쁜 상태를 유지하고 있습니다! 

화면 한시 방향에 정말 살짝의 먼지같은 긁힘 자국있습니다. 이외에 하자는 없습니다! 현재 초기화상태입니다. 새 주인에게 연결만 하면 되는 상태로 두고있습니다ㅎㅎ

SE로 바꾸고 드는 생각은 애플워치3가 개인적으로 스마트워치 입문용으로 좋았다라는 생각이 들었습니다!

추가적으로 기본 스트립 제외 추가구매한 가죽스트립도 아직 가죽향이 안빠진 온전히 거의 새거 상태입니다. 

*구성품*
애플워치 풀박스(충전기,박스,보증안내서,가죽스트립)

네고 답변안합니다. 

직거래 희망하며 위치는 인천 작전역입니다. ",15,227,인천광역시 계양구 효성1동
8_8,애플워치3 38mm 스페이스그레이,"180,000원",18시간 전,"애플워치3 38mm 스페이스 그레이

잘 안 쓰게 돼서 판매해요

체크해둔 부분 기스 있고 화면 부분은 자세히 보면 생활 기스 약간 있어요 (거의 보이지 않는 수준의 기스지만 이 부분 예민하신 분은 거래 피해주세요) 배터리 성능 100%고 박스는 그대로 보관해둬서 풀박스로 드려요 더 궁금하신 부분은 번개톡 주세요

가격 최대한 내리고 업로드한 거라 에누리 안 되고 배송비 별도예요 단순 찔러보기 연락 사양할게요 :)",38,424,전국
8_9,애플워치5 gps 나이키 44mm,"480,000원",18시간 전,"풀커버 케이스써서 케이스빼면 상태진짜좋아요
리퍼남아있어요

나이키줄은 미개봉상태입니다",3,1091,부산광역시 연제구 연산제2동지역인증
8_10,애플워치se 40mm 스페이스그레이 상태최상,"330,000원",19시간 전,배터리성능 100% 거의새것 기스 오염 하자X,3,101,인천광역시 연수구 연수2동
8_11,애플워치3 38mm 스페이스그레이,"180,000원",18시간 전,"애플워치3 38mm 스페이스 그레이

잘 안 쓰게 돼서 판매해요

체크해둔 부분 기스 있고 화면 부분은 자세히 보면 생활 기스 약간 있어요 (거의 보이지 않는 수준의 기스지만 이 부분 예민하신 분은 거래 피해주세요) 배터리 성능 100%고 박스는 그대로 보관해둬서 풀박스로 드려요 더 궁금하신 부분은 번개톡 주세요

단순 찔러보기 연락 사양할게요 :)",21,188,전국
8_12,애플워치3,"200,000원",20시간 전,애플워치 배터리 상태100이구요 상태 완전SS급입니다 진심실착2번입니다 얼른 싸게 가져가세요 풀박스입니다 사시면 스트랩 한개더드려요 쿨거하시면 에눌가능🥰,11,177,충청북도 청주시 상당구 용담.명암.산성동지역인증
8_13,애플워치5 44mm gps 로즈골드,"390,000원",18시간 전,"선물받은 제품이라 정말 애지중지 사용했고 풀커버 케이스 끼고다녀서 실기스 하나 없습니다. (S급) 
색상이 저와 안맞아서 판매하게 되었습니다.

44mm gps모델입니다. 로즈골드로 여성분 선물에도 괜찮을 것 같습니다.
풀박스에서 충전기 선 제외 판매하겠습니다. (우리집 강아지가 물어뜯었습니다..)
먼저보는 사람이 임자입니다.

쿨거래하시면 택배비 포함해드리겠습니다. 학생보단 성인 선호합니다..
추가 사진 및 문의사항은 번개톡 부탁드립니다.
코로나 확진 증가로 믿고 택배거래합니다! 신뢰 없는 분 자제 바랍니다. ",2,173,경기도 연천군 청산면지역인증
8_14,"애플워치 스트랩 38/40,42/44 mm","10,000원",18시간 전,"종류별로 사놓고 변심으로 팔아요 새상품입니다 
택배시 +택배비 직거래 장한평역",31,794,서울특별시 동대문구 장안제1동지역인증
