,title,price,time,content,like,Attention,location
1_0,중고폰매입 아이폰.아이폰12아이폰11.아이폰XS.아이폰X.S20.노트20,"999,000원",2일 전,"*** 필독 번톡알림이 울리지 않아 답변이 늦을수 있습니다. 카톡.문자.전화로 연락주시면 빠른답변드리겠습니다 ***


[24시간 친절상담]

카카오톡 1:1오픈채팅 
https://open.kakao.com/o/sIYqIl5

CACA0 : may1318

메이통신 연락처 : ０１０-５９２６-１５０３

통화.문자 ０１０-５９２６-１５０３


안녕하세요~~!!! 
최고가로 매입하는 중고폰 매입전문업체 
메이통신입니다. 

저희 메이통신으로 연락주시면 
최고가격으로 매입해드리도록 하겠습니다. 

CACA0 : may1318 (24시간 상담환영) 
메이통신 연락처 : ０１０-５９２６-１５０３

★☆ 모든 중고폰 & 파손액정 최고가 매입 ☆★


 [] 방문주소 []  

서울시 금천구 가산디지털1로 84 에이스하이앤드8차 메이통신

7호선 가산디지털단지역 도보 10분거리

※찜.팔로우 3천원 쏩니다!!※

○ 택배로 보내실때 박스.유심.필름.케이스 
    전부 빼고 보내주세요 
    모두 폐기처분합니다. ○ 


[ 침수.파손.고장폰도 최고가 매입 ]

[ 분실.습득폰은 절대매입하지 않습니다 ]

[ 택배거래시 도착당일 제품확인후 
  신속.정확하게 최고가로 입금해드립니다 ]



 
 ☆ 휴대폰은 꼭 초기화해서 보내주세요  초기화안된폰은 매입안됩니다  ☆",510,38571,서울특별시 금천구 가산동지역인증
1_1,애플워치5 나이키 스페이스그레이 44mm s급,"500,000원",16시간 전,"애플워치5세대 나이키 스페이스그레이 44mm gps 
제조 2020년 6월
s급 기스 없음
풀박 구성품 다 있습니다
제가 따로 구매한 실리콘스트랩 같이 드립니다

갤럭시로 바꾸면서 판매하고 
식품회사 다녀서 거의 못꼈어요",0,0,경상남도 밀양시 내이동지역인증
1_2,카일루스 플로랄 애플워치 스트랩 유광 44/42mm 팔아요.,"500,000원",16시간 전,"카일루스 플로랄 애플워치 44/42mm 스트랩 팔아요.
무광 주문이 아닌 매물 별로 없는 유광 입니다!!!
손목 17~17.5cm 사이즈시면 맞는 사이즈입니다.

공홈에서 57만원 가량에 판매중이고
상태는 보시다시피 새상품 그대로입니다.
구성품과 정품인증서 전부 보유중입니다.

아직 이정도 퀄리티 스트랩은 출시되지않았습니다.
특별한 스트랩이니 문의 주세요!


회사 근처가 우체국이라
평일 6시 전 입금시 택배거래시
팀장님과 대표 몰래 나와서 우체국택배로 쏴드립니다.

직거래는 평일 오전9시 ~ 오후6시
>> 부평 삼산우체국 앞

그 뒤나 주말은
>>부천시 상동 상인초등학교나
>>상동역 롯데리아건물에서 합니다.

",0,2,경기도 부천시 상3동지역인증
1_3,애플워치스트랩42m,"20,000원",16시간 전,악어가죽스트랩입니다 5만원넘게 주고 산겁니다 상태 사용감 있습니다,0,12,서울특별시 마포구 염리동지역인증
1_4,애플워치5 44mm 개급처,"350,000원",16시간 전,"애플워치5 
풀박스 배터리99
찍힘있어서 개싸게팝니다
급합니다
번페가능
",12,771,경기도 의왕시 청계동지역인증
1_5,"(웨어러블)에어팟,애플워치.최고가 매입!!","777,777,777원",1달 전,"번개장터에 드디어 ⭐노란마켓⭐이 떴다!

❤매입 특별기간❤
""지금 중고폰 판매시 최대 5만원 추가지급"" 
-

❓
개인거래여서 잠수타면 어떡하지 걱정되시나요?
생각했던 금액이 아닐까봐 걱정되시나요?

❗
이제는 그런 걱정 할 필요 없습니다!

믿을만한 브랜드여서 믿고 보낼수 있고,
금액이 안맞아도 무료반송이여서, 부담 없이 보내실수 있습니다.

보내기 귀찮다 ,너무 번거롭다 하면
노란마켓은 기사님께서 직접 픽업도 하러 가십니다.
*픽업요청은 번개톡 또는 직통상담으로 신청하시면 됩니다.

-

※ 중고거래 특성상 사기당하는 경우가 자주 발생하고,
말도 안되는 이유로 금액을 낮게 측정하는 경우가 많습니다.

그 . 래 . 서 
노란마켓은 고객님께서 금액이 마음에 들지 않으면
⛔무ㆍ조ㆍ건ㆍ무ㆍ료ㆍ반ㆍ송 ⛔

모르는 불안한 업체에 기계보냈다가 후회하지마시고,
인증된 법인기업 노란마켓에 보내주세요!


-

⭐️거래방법
①상담 후 택배 보내주시면 즉시 검사후 연락 드리고 바로 현금이체 해드립니다!
②택배 보낸 후 문자로 보내시는 제품, 계좌번호, 운송장을 남겨주세요.
③후기에 별 다섯개 + 팔로잉하고 인증샷 보내면 5천원 추가로 드립니다! 

⭐️택배주소
받는 이 : 노란마켓 번개장터 매입팀
전화번호 : ***-****-**** [매입팀 직통번호]
주소 : 서울특별시 광진구 군자로 70, 2층 노란마켓 본사 매입2팀

⭐️노란마켓 직통상담💁🏻 ♀️
카톡상담 이용시 더 빠른 답변을 받을 수 있습니다.
문의번호 : ***-****-****
카카오톡 : ****://pf.kakao.com/_rajsxb

무료배송으로 했더니 타업체들의 영업방해 목적 배송이 늘어나네요, 
실매입가 만원미만 또는 폐폰은 택배비 지원이 불가능합니다.",123,8083,서울특별시 광진구 군자동
1_6,애플워치5 44mm gps 로즈골드,"390,000원",16시간 전,"선물받은 제품이라 정말 애지중지 사용했고 풀커버 케이스 끼고다녀서 실기스 하나 없습니다. (S급) 
색상이 저와 안맞아서 판매하게 되었습니다.

44mm gps모델입니다. 로즈골드로 여성분 선물에도 괜찮을 것 같습니다.
풀박스에서 충전기 선 제외 판매하겠습니다. (우리집 강아지가 물어뜯었습니다..)
먼저보는 사람이 임자입니다.

쿨거래하시면 택배비 포함해드리겠습니다. 학생보단 성인 선호합니다..
추가 사진 및 문의사항은 번개톡 부탁드립니다.
코로나 확진 증가로 믿고 택배거래합니다! 신뢰 없는 분 자제 바랍니다. ",2,159,경기도 연천군 청산면지역인증
1_7,애플워치se40m 로즈골드 교신가능,"300,000원",16시간 전,상세 설명 없음,22,3437,경기도 부천시 소사본3동
1_8,애플워치se44 (스그) gps,"340,000원",16시간 전,"일주일전에 백화점 직접구매했습니다.!!
딱하나 남은거 샀구요 .!! 
직거래 택배거래 환영입니다~~
박스는 풀박스구요. 
현재 필름붙이고 기포가 조금 있습니다 .! 바로 떼셔서 새로 붙이셔도 되구요 빨리사가세요 
39만원주고 샀는데 개인사정으로 급하게 판매합니다 
(스페이스그레이) ",0,34,경상남도 창원시 마산합포구 진동면지역인증
1_9,애플워치SE GPS 40mm 실버 미개봉 새제품,"340,000원",16시간 전,"국내 정품 미개봉 새제품이라 다른설명은 하지 않겠습니다!
화이트 스포츠밴드이고 제조월 21년 3월입니다!
직거래 / 택배거래 모두 가능하며 직거래는 수원역, 이마트수원점, 집주소입니다!
택배거래는 3500원 더해주시면 됩니다!
네고는 답변하지 않으며 거래내역 많으니 사기 걱정 안하셔도 됩니다!",36,865,경기도 수원시 권선구 세류2동지역인증
